speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,region,year,country,temperature,precipitation,humidity,wind_speed,land_cover_type,habitat_loss_index,arrival_date,departure_date,migration_distance_km,route_complexity_score,stopover_count,avg_stopover_duration_days,migration_type,climate_zone
ribgul,Ring-billed Gull,Larus delawarensis,L342269,Walden Ponds Wildlife Habitat--Walden & Sawhill Ponds all together,2024-07-25,54.0,40.044253,-105.1867721,True,False,False,S216513065,,US-CO,2024,ZA,24.184690848731748,4.187796555946963,75.9349632986398,13.681821466243788,Forest,0.6503655604954457,2024-03-01,2024-07-26,1179.830703932325,0.6682893861376992,1,9.982641282330134,Long-distance,Subtropical
bawwar,Black-and-white Warbler,Mniotilta varia,L13733170,"751 NE 160th Ave, Williston US-FL 29.34111, -82.50304",2024-06-24,1.0,29.341115,-82.503038,True,False,True,S216508098,,US-FL,2024,BR,20.059115907293858,7.445872611251069,68.29258937053359,12.991796702976618,Forest,0.8084602894771483,2024-03-09,2024-06-10,867.4897882807168,0.1943209733839072,7,6.271843225338021,Short-distance,Temperate
bushti,Bushtit,Psaltriparus minimus,L583568,Home Alta Mesa Rd-Wilton,2020-07-07,2.0,38.3993722,-121.2220639,True,False,True,S216510898,,US-CA,2020,US,14.425763876570677,2.358962329938869,57.4415953729315,3.396269579647245,Forest,0.3124058976796318,2020-03-14,2020-05-22,881.0849456333003,0.557524376194266,7,4.346924541297321,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L1837850,Holden Beach--Beachfront,2024-08-16,1.0,33.9107651,-78.2965672,True,False,False,S216507389,,US-NC,2024,US,20.93278564534896,2.0940407298414248,50.21282339681982,10.324042362938503,Wetlands,0.8444056122920658,2024-02-16,2024-05-02,1261.6996328210103,0.4591729416713005,7,1.2009058560794585,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L3121964,High Island Beach (Gulf Seawatch),2021-07-14,2.0,29.5497991,-94.3877969,True,False,False,S216511762,,US-TX,2021,IN,11.240922993353475,0.7715463836307421,62.773278600318086,14.047537146666116,Grassland,0.012657828484162192,2021-02-17,2021-07-31,835.7161362922792,0.9906748512711893,3,8.158404801973237,Long-distance,Tropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L17839292,"49 Drew Lane, Chateaugay, New York, US (44.838, -74.04)",2024-06-27,1.0,44.8381898,-74.0399963,True,False,True,S216509427,,US-NY,2024,US,27.93839694230782,7.268811943705707,48.72492431989776,7.447347732883304,Wetlands,0.36011771548900384,2024-03-10,2024-05-15,795.6022537172913,0.9113833233280016,7,9.36727748798901,Short-distance,Subtropical
ribgul,Ring-billed Gull,Larus delawarensis,L629829,Outhwaite Reservoir,2020-04-05,7.0,40.8395284,-82.935791,True,False,False,S216503429,,US-OH,2020,US,21.879374564449982,5.458780548898322,58.86008912288193,12.052489625826864,Forest,0.9813771043261948,2020-03-08,2020-08-09,509.8403008318772,0.7314871318934572,4,2.94566799140801,Short-distance,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L1396692,George Freer Memorial Beach,2021-03-03,10.0,41.9102459,-73.9727658,True,False,False,S216505595,,US-NY,2021,IN,28.328539204323505,8.754696902202864,89.53213685860895,12.122373132593143,Forest,0.6829644186886872,2021-02-19,2021-08-12,942.32368233567,0.2020705009661593,4,1.2627175644502127,Long-distance,Tropical
ribgul,Ring-billed Gull,Larus delawarensis,L629829,Outhwaite Reservoir,2023-04-25,7.0,40.8395284,-82.935791,True,False,False,S216503429,,US-OH,2023,IN,23.68801331037601,7.379424698688947,68.54535268760723,12.570212264411374,Wetlands,0.7267348363533426,2023-02-27,2023-06-04,638.281805130725,0.7307349024056865,2,2.1965704368937025,Long-distance,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L40784920,"2015 Lake Tahoe Blvd, South Lake Tahoe US-CA 38.91463, -120.00405",2023-05-27,8.0,38.914625,-120.004051,True,False,True,S216286140,,US-CA,2023,BR,25.226077929750286,1.9139861167409034,79.14243089933288,7.475651457612974,Grassland,0.05166217582898969,2023-03-29,2023-08-08,941.4315565888323,0.7235223567491524,1,9.253464328363416,Long-distance,Tropical
bushti,Bushtit,Psaltriparus minimus,L384546,Waneka Lake/Greenlee Preserve,2021-05-01,4.0,39.9970462,-105.1141834,True,False,False,S216509119,,US-CO,2021,ZA,25.971323398109135,0.46393751265208116,53.252364370464164,6.865491058290786,Grassland,0.487813481807599,2021-03-27,2021-08-24,1298.226683353089,0.2702047633041317,2,6.486582554189929,Altitudinal,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L40784920,"2015 Lake Tahoe Blvd, South Lake Tahoe US-CA 38.91463, -120.00405",2023-06-24,8.0,38.914625,-120.004051,True,False,True,S216286140,,US-CA,2023,BR,24.035261435622676,7.326971714610181,81.76220300794328,8.166468543942019,Urban,0.42720302728183457,2023-03-21,2023-04-22,937.5924331092757,0.031031032544945436,5,3.6277840779900794,Short-distance,Subtropical
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2665721,Sax-Zim Bog--Mary Lou's Feeding Station,2020-08-08,16.0,47.3047,-92.83039,True,False,False,S216438834,,US-MN,2020,BR,20.9115939838639,0.11005051683398129,85.88236389522167,9.019980257472868,Forest,0.7027828771659749,2020-02-27,2020-07-10,865.6753233227955,0.4794968364782597,5,1.0324381589945846,Altitudinal,Arid
ribgul,Ring-billed Gull,Larus delawarensis,L40828647,Teal pier,2020-03-09,5.0,32.792506,-117.209805,True,False,True,S216510417,,US-CA,2020,US,25.58771127897981,0.8035340431461206,52.117684756838116,9.238144880808294,Forest,0.7714848748169257,2020-02-19,2020-04-09,756.6970544087541,0.725665763690009,3,2.492469784355444,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L124334,"Richard Clark Park, Chicago",2024-06-16,2.0,41.9433856,-87.6944263,True,False,False,S216513093,,US-IL,2024,US,28.388324478942124,0.32209985611137537,71.38344385794043,4.098024807322016,Forest,0.6704155146589565,2024-02-15,2024-06-02,908.3189259403202,0.8094785841221682,3,3.272223677691516,Long-distance,Arid
evegro,Evening Grosbeak,Coccothraustes vespertinus,L2187646,Steamboat Springs Ski Area,2023-05-02,6.0,40.4606624,-106.7850494,True,False,False,S216457212,,US-CO,2023,ZA,23.28775195361382,5.180948519348694,81.82210962349349,13.276320351947279,Urban,0.2016999626310254,2023-03-26,2023-09-02,934.766819386007,0.34664374664052877,1,7.316860190088801,Short-distance,Temperate
ribgul,Ring-billed Gull,Larus delawarensis,L1837850,Holden Beach--Beachfront,2021-04-24,1.0,33.9107651,-78.2965672,True,False,False,S216507389,,US-NC,2021,IN,27.403903627773108,0.6506465833825106,55.160989192212526,5.366698455255268,Urban,0.5470281464244477,2021-02-22,2021-05-11,647.5944718136302,0.5727765165969935,3,1.4767459733833117,Short-distance,Tropical
ribgul,Ring-billed Gull,Larus delawarensis,L3121964,High Island Beach (Gulf Seawatch),2021-07-26,2.0,29.5497991,-94.3877969,True,False,False,S216511762,,US-TX,2021,BR,16.7654450865903,0.5338621345573114,74.0125344165187,12.055870254132904,Urban,0.11105244437810935,2021-02-19,2021-03-26,658.483170493209,0.1555653971088704,6,9.753575169006757,Altitudinal,Subtropical
